Date,Transactions
2009-08-12,63
2009-08-13,85
2009-08-14,63
2009-08-15,26
2009-08-16,19
2009-08-17,17
2009-08-18,10
2009-08-19,18
2009-08-20,22
2009-08-21,14
2009-08-22,7
2009-08-23,15
2009-08-24,15
2009-08-25,50
2009-08-26,48
2009-08-27,29
2009-08-28,75
2009-08-29,78
2009-08-30,97
2009-08-31,86
2009-09-01,78
2009-09-02,66
2009-09-03,61
2009-09-04,64
2009-09-05,76
2009-09-06,68
2009-09-07,78
2009-09-08,69
2009-09-09,54
2009-09-10,67
2009-09-11,67
2009-09-12,69
2009-09-13,75
2009-09-14,74
2009-09-15,44
2009-09-16,72
2009-09-17,84
2009-09-18,78
2009-09-19,74
2009-09-20,78
2009-09-21,69
2009-09-22,25
2009-09-23,36
2009-09-24,97
2009-09-25,91
2009-09-26,100
2009-09-27,87
2009-09-28,85
2009-09-29,88
2009-09-30,85
2009-10-01,82
2009-10-02,72
2009-10-03,58
2009-10-04,53
2009-10-05,55
2009-10-06,43
2009-10-07,60
2009-10-08,70
2009-10-09,79
2009-10-10,77
2009-10-11,74
2009-10-12,58
2009-10-13,57
2009-10-14,69
2009-10-15,71
2009-10-16,60
2009-10-17,57
2009-10-18,74
2009-10-19,112
2009-10-20,95
2009-10-21,80
2009-10-22,90
2009-10-23,89
2009-10-24,62
2009-10-25,76
2009-10-26,71
2009-10-27,64
2009-10-28,66
2009-10-29,46
2009-10-30,60
2009-10-31,46
2009-11-01,25
2009-11-02,33
2009-11-03,62
2009-11-04,63
2009-11-05,57
2009-11-06,62
2009-11-07,69
2009-11-08,73
2009-11-09,64
2009-11-10,78
2009-11-11,64
2009-11-12,66
2009-11-13,80
2009-11-14,79
2009-11-15,96
2009-11-16,97
2009-11-17,92
2009-11-18,79
2009-11-19,70
2009-11-20,86
2009-11-21,73
2009-11-22,106
2009-11-23,96
2009-11-24,93
2009-11-25,90
2009-11-26,84
2009-11-27,74
2009-11-28,71
2009-11-29,60
2009-11-30,75
2009-12-01,73
2009-12-02,94
2009-12-03,88
2009-12-04,36
2009-12-05,64
2009-12-06,103
2009-12-07,112
2009-12-08,105
2009-12-09,96
2009-12-10,104
2009-12-11,112
2009-12-12,110
2009-12-13,114
2009-12-14,102
2009-12-15,110
2009-12-16,136
2009-12-17,169
2009-12-18,225
2009-12-19,198
2009-12-20,175
2009-12-21,175
2009-12-22,162
2009-12-23,154
2009-12-24,154
2009-12-25,149
2009-12-26,174
2009-12-27,167
2009-12-28,137
2009-12-29,171
2009-12-30,141
2009-12-31,138
2010-01-01,132
2010-01-02,126
2010-01-03,186
2010-01-04,181
2010-01-05,198
2010-01-06,163
2010-01-07,154
2010-01-08,153
2010-01-09,151
2010-01-10,190
2010-01-11,159
2010-01-12,159
2010-01-13,164
2010-01-14,143
2010-01-15,141
2010-01-16,125
2010-01-17,131
2010-01-18,125
2010-01-19,124
2010-01-20,158
2010-01-21,175
2010-01-22,133
2010-01-23,160
2010-01-24,154
2010-01-25,211
2010-01-26,195
2010-01-27,164
2010-01-28,177
2010-01-29,197
2010-01-30,210
2010-01-31,165
2010-02-01,184
2010-02-02,145
2010-02-03,270
2010-02-04,229
2010-02-05,223
2010-02-06,192
2010-02-07,217
2010-02-08,200
2010-02-09,207
2010-02-10,168
2010-02-11,169
2010-02-12,183
2010-02-13,232
2010-02-14,208
2010-02-15,176
2010-02-16,195
2010-02-17,239
2010-02-18,208
2010-02-19,192
2010-02-20,208
2010-02-21,223
2010-02-22,260
2010-02-23,250
2010-02-24,171
2010-02-25,154
2010-02-26,172
2010-02-27,172
2010-02-28,156
2010-03-01,195
2010-03-02,188
